size,rep,arg1,function,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses
4096,1,134217728,TLB_4096,1074064009,834938706,0.777364,0.233954,0.195337,0.000008,3159,402798254
2097152,1,134217728,TLB_4096,1076268772,2847884673,2.646072,0.233733,0.665646,0.332533,134265074,403764222
