size,rep,arg1,function,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses
4160,1,134217728,TLB_4160,1074061275,826541779,0.769548,0.233978,0.193393,0.000017,6889,402799106
2129920,1,134217728,TLB_4160,1075963143,1961769523,1.823268,0.233715,0.458495,0.007578,3058573,403630503
