size,rep,arg1,function,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses
1024,1,16,stride,66361331,11917081,0.179579,0.244103,0.002909,0.000043,490,11427114
2048,1,16,stride,127802988,24914587,0.194945,0.241706,0.006022,0.000022,487,21836680
4096,1,16,stride,250732783,46875011,0.186952,0.236224,0.011073,0.000029,1225,42344063
8192,1,16,stride,496518823,86828235,0.174874,0.233968,0.020315,0.032809,2734012,83332010
16384,1,16,stride,988569684,364331240,0.368544,0.234097,0.085289,0.991777,164200554,165561965
