,size,power,function,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses
0,16,4,bench_solution,12745879498,3382388290,0.265371,0.233758,0.790659,0.011618,41947671,3610460796
0,16,4,bench_solution,127185747469,33325822905,0.262025,0.233725,7.789062,0.011208,404123192,36055188938
